index,sensitivity,specificity,precision,number,season
ADO_DSC_CH07_0006,0.24444444444444444,0.9507299270072993,0.6197183098591549,180.0,3
ADO_DSC_CH07_0100,0.7373737373737373,0.8019323671497585,0.37244897959183676,99.0,0
ADO_DSC_CH07_0100,0.16393442622950818,0.882962962962963,0.11235955056179775,61.0,1
ADO_DSC_CH07_0100,0.7446808510638298,0.8117647058823529,0.4838709677419355,141.0,2
ADO_DSC_CH07_0100,0.7409638554216867,0.9181494661921709,0.727810650887574,166.0,3
ADO_DSC_CH07_0147,0.7068965517241379,0.8021148036253777,0.23837209302325582,58.0,0
ADO_DSC_CH07_0147,0.27419354838709675,0.924219910846954,0.25,62.0,1
ADO_DSC_CH07_0147,0.6023391812865497,0.9418386491557224,0.7686567164179104,171.0,2
ADO_DSC_CH07_0147,0.23076923076923078,0.9319852941176471,0.4931506849315068,156.0,3
ADO_DSC_FRK2_0041,0.6962962962962963,0.9914529914529915,0.9494949494949495,135.0,0
ADO_DSC_FRK2_0041,0.4936708860759494,0.9550173010380623,0.75,158.0,1
ADO_DSC_FRK2_0041,0.6966292134831461,0.8082437275985663,0.5367965367965368,178.0,2
ADO_DSC_FRK2_0041,0.40625,0.7436440677966102,0.4622222222222222,256.0,3
ADO_DSC_SI03_0033,0.06930693069306931,0.962843295638126,0.23333333333333334,101.0,0
ADO_DSC_SI03_0033,0.11724137931034483,0.9746192893401016,0.53125,145.0,1
ADO_DSC_SI03_0033,0.3918918918918919,0.953307392996109,0.7837837837837838,222.0,2
ADO_DSC_SI03_0033,0.41,0.9171974522292994,0.44086021505376344,100.0,3
ADO_DSC_ITH2_0035,0.6168831168831169,0.9099264705882353,0.6597222222222222,154.0,0
ADO_DSC_ITH2_0035,0.5089820359281437,0.9172535211267606,0.6439393939393939,167.0,1
ADO_DSC_ITH2_0035,0.5544041450777202,0.9944341372912802,0.9727272727272728,193.0,2
ADO_DSC_ITH2_0035,0.46396396396396394,0.9614604462474645,0.8442622950819673,222.0,3
