,true_runoff,runoff_clim,trueTP,climTP_lt1,climTP_lt1_Q25,climTP_lt1_Q75,split,climTP_lt2,climTP_lt2_Q25,climTP_lt2_Q75,climTP_lt3,climTP_lt3_Q25,climTP_lt3_Q75,climTP_lt4,climTP_lt4_Q25,climTP_lt4_Q75,climTP_lt5,climTP_lt5_Q25,climTP_lt5_Q75
2016-03-25,9.723333333333333,14.509750000000002,6.521680397937054,3.721118127841976,1.7821510151435902,4.4268913806371515,2,-0.04007211502699448,-3.142855448755469,1.523456701818958,0.632795937003511,-2.4679611184120063,2.1641443691612494,5.058785158333624,1.2264480676250145,6.1630129026073295,9.970729477805882,2.2100427813713885,15.093999813117506
2016-03-26,9.837666666666669,14.060784313725488,5.792194790066063,3.3251585944422217,1.3055141578616762,3.936465505685863,2,-0.38649703782926537,-3.6240734298290675,1.4981514279914379,0.18632493608842182,-3.1079542064902803,1.9517357261094013,5.090763961288102,0.5770327031315254,6.55852193993028,9.996323313265151,1.634994447634977,15.699306234720652
2016-03-27,9.922666666666666,14.371450980392158,4.584185340867794,2.3943421958404834,0.41760360117577733,2.854342370930869,2,-1.1131955707734598,-4.220316294728253,0.28291884832450975,-0.6233091619524238,-3.5502878959274753,0.6137363489840446,4.620359841441065,0.5267449001336786,5.886312462173805,9.526612058061325,1.6263140250843584,14.898960977668958
2016-03-28,9.997333333333334,14.658470588235293,4.51419194987033,2.7491502840216846,0.6278767834424492,2.8343981344845304,2,-1.0163414956341583,-4.421388170049443,-0.0818543011998365,-0.45760208514890266,-3.9288736593688363,0.2737628555200189,5.27778052651956,0.30490710001113897,6.616052335886705,10.082175719736407,1.5421900532366521,15.420976237945059
2016-03-29,9.696333333333333,15.872062500000002,3.7367538699419462,4.201216711954814,1.8874921816825925,4.446338807734527,2,-0.9294089695637879,-4.651597915779028,0.03219354075841707,-0.38750318771450765,-4.214936398916983,0.47641160716328557,5.419970931415701,0.6577800288704019,7.042139810854859,10.312612966465542,2.045091826271939,15.488847819702197
2016-03-30,8.880666666666666,16.095979166666663,3.3652807514911984,5.63823845803692,4.097180882501458,5.788203015161507,2,-0.8647527255754497,-3.780596582491178,-0.2735798221679282,-0.3249063855358294,-3.355976499791467,0.2293537191146946,5.45082991497002,1.428925952743061,6.2641246872552205,10.248479744161742,2.906278558270042,14.628080690217296
2016-03-31,8.475666666666667,16.423125,2.4784633500969946,4.856960921412924,3.4777310840989344,5.870183575469779,2,-1.2023654542164053,-3.422478085061499,0.4700917602068344,-0.8056988462933887,-3.0636047944408844,0.8782508308955599,4.799981593905255,1.5305270620522506,6.861780270514341,9.508018306746093,3.150622882745381,15.301878761856468
2016-04-01,8.679,16.911104166666664,2.929432676235752,4.403533173157985,2.972612610507422,5.259459035253359,2,-1.0326854311965796,-3.3852493442508482,0.4754140339779305,-0.8139266437111985,-3.3820006877211526,0.8469637629401632,4.61179321261212,0.8083157377899752,6.813499543979429,9.441473572281774,2.3478527439096766,15.165088113279033
2016-04-02,9.005666666666666,17.2999375,3.039137860574087,4.113025306839617,2.4112258548690626,5.071915820466952,2,-1.0615391929072153,-3.8042182204967183,0.994160597265143,-0.7385860089198673,-3.8888510331824087,1.6003295680084086,4.85281003999623,0.6983579614434738,7.8045785749969365,9.514764685485765,2.58903384183926,15.611129813354133
2016-04-03,9.335666666666668,17.620499999999996,3.361931189578101,4.27744991404019,2.5223521987639543,6.4324394505812865,2,-0.8248698641322783,-3.8331849417090673,2.459310347621898,-0.3993939584497994,-3.939165261613681,3.185628917463081,5.2021844515455165,0.7756068396520384,9.477326609348227,9.656074636798065,2.7498240014157993,16.2979378085169
2016-04-04,9.875666666666666,17.935333333333332,4.445080402717295,4.992969225042069,3.0523715325075926,7.401653055050284,2,-0.5314352515718426,-3.4502544542564912,2.953194933863326,-0.09423212829603855,-3.616973475512996,3.6934272221476547,5.8443372317388995,1.90077209642471,10.019782192958314,9.995096714031488,3.9991758743608727,15.953670917675812
2016-04-05,12.232333333333335,18.349687499999998,6.907699940583322,6.064447983513235,4.264515999436178,8.442522959872194,2,0.1522298406457061,-2.5490929227686365,3.234040242738228,0.5971276720990559,-2.7526311793145233,3.8540364697247966,6.6981561752240495,2.701898917938614,10.545314943605787,10.692501166762812,4.706843626189258,17.779134011171237
2016-04-06,13.853666666666667,18.740166666666664,8.884412387124147,6.8354273934798595,4.838480338629022,9.417012346567864,2,0.6832844383287373,-2.2134418580435273,4.794171968363827,1.1932192644420816,-2.388037998079824,5.775883913956665,7.471740031739884,3.3846696286599034,12.600703743739052,11.289171755973738,5.137323104974685,19.722720560914954
2016-04-07,15.101666666666667,19.125458333333334,9.12177588923378,6.566241553755578,4.635192163030457,9.401799248488283,2,0.7545748481757109,-2.4101806067638876,6.3390798097367735,1.3955733683435234,-2.457023932466612,7.6196686874793205,7.881891738880524,3.2598678064366666,15.113971707793128,11.67095962132714,5.276253467492042,21.687707333897325
2016-04-08,16.740666666666666,19.542937500000004,8.77596323020072,5.714955062580266,3.2635979792371117,8.917692905180969,2,1.0707641646352215,-2.4977211026549817,5.895268405671395,1.4726923070139115,-2.66733705191222,6.951913221917101,8.216411417838218,2.9289450969450925,14.88396255572335,11.941222015343337,4.676465704986139,20.07152944818154
2016-04-09,18.987333333333332,20.060479166666664,10.568710108538024,6.524545989424595,3.7340745703045286,9.931715816918809,2,2.3284962767151995,-1.2778726687675963,6.917712722905394,2.8693346331476697,-1.3121633422969161,8.239799626074861,9.489443119567705,4.011726598972434,16.3741982241777,13.179870008749681,5.82333691801864,21.62958879724471
2016-04-10,20.549666666666667,20.599354166666668,10.82277250906951,7.060037813900276,5.014484353374106,10.113625920509019,2,3.718508777257888,1.052674627274918,8.08949649998782,4.093146318296938,0.9054370087728749,9.113838370672193,10.570203487069417,6.169512040949341,17.17983058290053,14.055544948797483,8.027758812466233,22.59092535700998
2016-04-11,21.86133333333333,21.215729166666666,11.464874702454319,7.925782806224488,6.14947960556467,11.16195125407727,2,4.475597167371909,2.0428890763080503,9.005253759542196,5.031154455688791,2.1399938806518257,10.110533726361531,11.289528813732618,7.201375881502463,16.66086657812441,14.768692577002192,8.982522188361164,21.268014017338576
2016-04-12,23.103333333333335,21.789104166666668,12.87662332989672,8.96662731387168,6.979089093602154,11.835978095778573,2,5.121267057574583,2.3128256244139322,9.66570594858501,5.699751034036112,2.424127657045524,10.580719856373678,11.771294896748786,7.102171966276403,17.219880930125633,15.287844230974741,8.972220563766692,21.907112719729838
2016-04-13,24.152,22.250625000000003,12.630682866030876,8.637523877892395,6.453671917678177,11.451574216294306,2,5.3300869772854895,2.838826474017253,9.813177284377957,5.5191412152473145,2.5074659447178256,10.275867157736306,11.181823439932606,6.3867727527046885,17.15330990266292,14.42586730785943,8.057215803348933,21.17783605029828
2016-04-14,25.054,22.471333333333334,14.063229283825859,8.882283954251852,6.789351818378313,12.014213043741725,2,6.197833989687471,3.832814390136118,10.978407677956632,6.211470295437955,3.2739886262622306,11.285491404139517,11.523111260518748,6.858827279415689,17.70564385297092,14.680313587306241,8.639994401419871,23.356626334844847
